Date;Workout Name;Duration;Exercise Name;Set Order;Weight;Reps;Distance;Seconds;Notes;Workout Notes;RPE
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Bench Press (Barbell);1;50;8;0;0;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Bench Press (Barbell);2;50;8;0;0;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Bench Press (Barbell);3;50;8;0;0;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Bench Press (Barbell);4;50;6;0;0;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Incline Dumbbell Press;1;17.5;10;0;0;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Incline Dumbbell Press;2;17.5;10;0;0;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Incline Dumbbell Press;3;17.5;10;0;0;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Seated Dumbbell Shoulder Press;1;14;10;0;0;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Seated Dumbbell Shoulder Press;2;14;10;0;0;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Seated Dumbbell Shoulder Press;3;14;10;0;0;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Lateral Raise (Cable);1;5;12;0;0;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Lateral Raise (Cable);2;5;12;0;0;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Lateral Raise (Cable);3;5;12;0;0;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Triceps Pushdown (Cable);1;20;12;0;0;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Triceps Pushdown (Cable);2;20;12;0;0;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Triceps Pushdown (Cable);3;20;12;0;0;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Plank;1;0;0;0;45;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Plank;2;0;0;0;45;;;
2026-05-11 09:00:00;Push A - Chest Shoulders Triceps;3600;Plank;3;0;0;0;45;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Lat Pulldown (Cable);1;50;10;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Lat Pulldown (Cable);2;50;10;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Lat Pulldown (Cable);3;50;8;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Lat Pulldown (Cable);4;50;8;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Bent Over Row (Barbell);1;40;8;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Bent Over Row (Barbell);2;40;8;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Bent Over Row (Barbell);3;40;8;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Bent Over Row (Barbell);4;40;8;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Seated Cable Row;1;50;10;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Seated Cable Row;2;50;10;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Seated Cable Row;3;50;10;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Face Pull (Cable);1;15;15;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Face Pull (Cable);2;15;15;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Face Pull (Cable);3;15;15;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Bicep Curl (Dumbbell);1;10;12;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Bicep Curl (Dumbbell);2;10;12;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Bicep Curl (Dumbbell);3;10;12;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Hammer Curl (Dumbbell);1;10;10;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Hammer Curl (Dumbbell);2;10;10;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Hammer Curl (Dumbbell);3;10;10;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Hanging Knee Raise;1;0;12;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Hanging Knee Raise;2;0;12;0;0;;;
2026-05-11 11:00:00;Pull B - Back Biceps Core;3600;Hanging Knee Raise;3;0;12;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Squat (Barbell);1;50;8;0;0;3 sec descent. TKE warmup first.;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Squat (Barbell);2;50;8;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Squat (Barbell);3;55;8;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Squat (Barbell);4;55;8;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Romanian Deadlift (Barbell);1;50;10;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Romanian Deadlift (Barbell);2;50;10;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Romanian Deadlift (Barbell);3;50;10;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Romanian Deadlift (Barbell);4;50;10;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Bulgarian Split Squat;1;14;10;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Bulgarian Split Squat;2;14;10;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Bulgarian Split Squat;3;14;10;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Leg Press;1;120;12;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Leg Press;2;120;12;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Leg Press;3;120;12;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Lying Leg Curl;1;35;12;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Lying Leg Curl;2;35;12;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Lying Leg Curl;3;35;12;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Cable Crunch;1;25;15;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Cable Crunch;2;25;15;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Cable Crunch;3;25;15;0;0;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Plank;1;0;0;0;60;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Plank;2;0;0;0;60;;;
2026-05-11 13:00:00;Legs C - Quads Hamstrings Core;4200;Plank;3;0;0;0;60;;;
